plot.taxon.d,relbiom,relabund,freqocr
Acartia,0,0,4.7
Actinopterygii,0,0,1.3
Aetideus,0.1,0,5.4
Anisakis,0,0,0.7
Anomura,0,0,2
Arthropoda,0,0,2.7
Asteroidea,0.4,6.7,10.7
Barnacle,3.6,12.4,61.7
Bivalvia,0.1,1,19.5
Brachyura,0.3,0.1,19.5
Bryozoa,0,0.1,9.4
Calanoid <2mm,0,0,4
Calanoida,0,0,2
Calanus,7,1.7,42.3
Caligus,0,0,1.3
Callianassidae,0,0,0.7
Cancridae,0.2,0,2.7
Candacia,0.1,0,3.4
Caprellidae,0.1,0,2.7
Caridea,0.1,0,2
Centropages,0.3,0.7,24.8
Chaetognatha,7.5,0.8,23.5
Clytia,0,0,0.7
Cnidaria,0,NA,NA
Copepodite,0,0,0.7
Corycaeus,0.1,1,51.7
Cumacea,0,0,1.3
Cyclopoida,0,0,2
Digested amphipod,0.7,0,9.4
Digested calanoid,1.9,1.1,57.7
Digested decapod,0.2,0.1,16.1
Digested insect,0,0,0.7
Diptera,0.1,0,6.7
Epilabidocera,0.7,0.2,18.1
Eucalanus,0.4,0.1,18.1
Euphausia,4,0.1,14.1
Euphausiidae,18.5,0.3,20.8
Evadne,0,0.2,9.4
Gammaridae,0.1,0,3.4
Gastropoda,1.2,4.4,18.1
Grapsidae,0.1,0.1,10.7
Harpacticoida,0,0,4
Hippolytidae,0,0,0.7
Hyperiidae,3.3,0.4,40.9
Hyperoche,0,0,0.7
Insecta,0,0,1.3
Limacina,0.1,0,8.1
Lithodidae,0,0,0.7
Majidae,0,0,1.3
Metridia,20.4,9.3,47
Monstrilloida,0,0,0.7
Nauplius,0,0,1.3
Neocalanus,0.1,0,3.4
Oikopleura,21.1,38.3,68.5
Other,1.8,13.4,14.8
Paguridae,0.1,0,1.3
Pandalidae,0,0,1.3
Paracalanus,0,0.1,13.4
Paraeuchaeta,0.3,0,10.7
Phrosinidae,0.5,0,5.4
Pinnotheridae,0.1,0,6.7
Podonidae,1,6.5,32.2
Polychaeta,0,0,8.7
Porcellanidae,0.6,0.2,23.5
Portunidae,0,0,1.3
Pseudocalanus,0,0,9.4
Siphonophorae,0,0,5.4
Spionidae,0,0,7.4
Thysanoessa,1.9,0,2
Tomopteris,1,0.1,10.7
Tortanus,0,0,3.4
Upogebiidae,0,0,1.3
Xanthidae,0,0,0.7
