DI15,DI16,JS15,JS16,,,IQR,DI15,DI16,JS15,JS16,,
0.016818182,0.086058824,0,0.061586207,,,1,0.260607527,0.380106383,0.113399015,0.310319149,,
0.017111111,0.144888889,0,0.091184211,,,2,0.934755245,0.55,0.448959105,0.515327213,,
0.020310078,0.155193798,0,0.122435897,,,3,1.470611111,0.780384615,0.925346315,1.031792636,,
0.071888889,0.22472973,0,0.134466667,,,mean,0.925417842,0.591158062,0.578059367,0.692859297,,
0.082830189,0.271066667,0,0.143098592,,,,,,,,,
0.093482143,0.281864407,0,0.1625,,,Overall median,0.565399306,,,,,
0.107952756,0.304352941,0,0.178051948,,,overall mean,0.698278936,,,,,
0.149722222,0.305606061,0.00484375,0.210588235,,,,,,,,,
0.166851852,0.340232558,0.007788018,0.241772152,,,PLASTIC,DI15,DI16,JS15,JS16,,
0.173870968,0.340576923,0.0275,0.269731544,,,,0.21,0.83,0.09,0.16,mean,0.566666667
0.21127907,0.342625,0.083090909,0.276037736,,,,1.53,,,0.58,median,0.395
0.215,0.377191011,0.092568306,0.302137405,,,,,,,,,
0.2233,0.380106383,0.096761905,0.31,,,,,,,,,
0.22688172,0.396393443,0.105828221,0.311276596,,,,,,,, ,
0.294333333,0.411551724,0.106945813,0.330769231,,,,,,,,,
0.319266667,0.433125,0.132758621,0.335316456,,,,,,,,,
0.319293333,0.452835821,0.158088889,0.338152174,,,,,,,,,
0.3696,0.466666667,0.160373444,0.348082192,,,,,,,,,
0.562692308,0.482142857,0.181889764,0.355833333,,,,,,,,,
0.5742,0.486144578,0.184968553,0.387155963,,,,,,,,,
0.574214286,0.490619469,0.210406977,0.390344828,,,,,,,,,
0.608020833,0.498051948,0.229444444,0.439108911,,,,,,,,,
0.719567251,0.52,0.276901408,0.451525424,,,,,,,,,
0.719590643,0.532428571,0.32273913,0.485434783,,,,,,,,,
0.809181818,0.55,0.345263158,0.495932203,,,,,,,,,
0.829448276,0.550948276,0.39712963,0.534722222,,,,,,,,,
0.829475862,0.574933333,0.399567568,0.540480769,,,,,,,,,
0.934755245,0.594245283,0.418145695,0.542253521,,,,,,,,,
1.004666667,0.609275362,0.437595628,0.566111111,,,,,,,,,
1.06925,0.65137931,0.460322581,0.581190476,,,,,,,,,
1.069261364,0.654464286,0.532596685,0.597608696,,,,,,,,,
1.221647059,0.668684211,0.564666667,0.73688172,,,,,,,,,
1.221680672,0.6875,0.5646875,0.772440945,,,,,,,,,
1.241021898,0.694285714,0.687555556,0.788461538,,,,,,,,,
1.304885496,0.71704918,0.687575758,0.798985507,,,,,,,,,
1.382173913,0.75025641,0.741,0.852601626,,,,,,,,,
1.436136364,0.780384615,0.741011765,0.873837209,,,,,,,,,
1.443516484,0.785,0.797586207,1.084444444,,,,,,,,,
1.455616438,0.786547619,0.825061453,1.156643357,,,,,,,,,
1.461347518,0.799714286,0.825083799,1.18954023,,,,,,,,,
1.470604938,0.826341463,0.845869565,1.214107143,,,,,,,,,
1.470617284,0.827956989,0.876719298,1.228539326,,,,,,,,,
1.523511905,0.830864198,0.876754386,1.385968992,,,,,,,,,
1.528098592,0.880933333,0.941543624,1.500847458,,,,,,,,,
1.616549708,0.884074074,0.94157047,1.525789474,,,,,,,,,
1.6353125,0.914086022,0.967794118,1.63625,,,,,,,,,
1.654836066,1.00578125,0.985742574,1.685327103,,,,,,,,,
1.664535519,1.099125,0.998416667,1.757608696,,,,,,,,,
1.674012346,2.118461538,0.998433333,1.844025974,,,,,,,,,
1.765851852,,1.140526316,2.075774648,,,,,,,,,
1.780365854,,1.214661654,,,,,,,,,,
1.802434783,,1.293915344,,,,,,,,,,
1.855666667,,1.322952381,,,,,,,,,,
1.951709845,,1.408150685,,,,,,,,,,
1.95173057,,1.428320611,,,,,,,,,,
,,1.526,,,,,,,,,,
,,1.526033058,,,,,,,,,,
,,2.426291391,,,,,,,,,,
