ID,site,region,zone,rank.abund,rank.biom,ufn,latitude,longitude,time.adj,meantemp,meansal,meansecchi,fork_length,z.abundance,z.biomass
D06_1,D06,DI,W,2,2,U267,50.09809,-125.27142,692,12.25,28.15,10.8,105,2145.66,414.2515527
D06_2,D06,DI,W,2,2,U130,50.09809,-125.27142,692,12.25,28.15,10.8,106,2145.66,414.2515527
D06_3,D06,DI,W,2,2,U288,50.09809,-125.27142,692,12.25,28.15,10.8,95,2145.66,414.2515527
D06_4,D06,DI,W,2,2,U276,50.09809,-125.27142,692,12.25,28.15,10.8,97,2145.66,414.2515527
D06_5,D06,DI,W,2,2,U275,50.09809,-125.27142,692,12.25,28.15,10.8,119,2145.66,414.2515527
D06_6,D06,DI,W,2,2,U266,50.09809,-125.27142,692,12.25,28.15,10.8,108,2145.66,414.2515527
D06_7,D06,DI,W,2,2,U277,50.09809,-125.27142,692,12.25,28.15,10.8,105,2145.66,414.2515527
D06_11,D06,DI,W,2,2,U287,50.09809,-125.27142,692,12.25,28.15,10.8,105,2145.66,414.2515527
D06_14,D06,DI,W,2,2,U289,50.09809,-125.27142,692,12.25,28.15,10.8,101,2145.66,414.2515527
D06_15,D06,DI,W,2,2,U271,50.09809,-125.27142,692,12.25,28.15,10.8,109,2145.66,414.2515527
D07_1,D07,DI,C,1,NA,U243,50.19112,-125.14202,840,18.2,25.4,14.9,109,3846.81,1244.744004
D07_2,D07,DI,C,1,1,U237,50.19112,-125.14202,840,18.2,25.4,14.9,109,3846.81,1244.744004
D07_3,D07,DI,C,1,1,U244,50.19112,-125.14202,840,18.2,25.4,14.9,115,3846.81,1244.744004
D07_4,D07,DI,C,1,1,U220,50.19112,-125.14202,840,18.2,25.4,14.9,104,3846.81,1244.744004
D07_5,D07,DI,C,1,1,U239,50.19112,-125.14202,840,18.2,25.4,14.9,104,3846.81,1244.744004
D07_6,D07,DI,C,1,1,U238,50.19112,-125.14202,840,18.2,25.4,14.9,115,3846.81,1244.744004
D07_7,D07,DI,C,1,NA,U222,50.19112,-125.14202,840,18.2,25.4,14.9,109,3846.81,1244.744004
D07_8,D07,DI,C,1,1,U219,50.19112,-125.14202,840,18.2,25.4,14.9,106,3846.81,1244.744004
D07_10,D07,DI,C,1,NA,U242,50.19112,-125.14202,840,18.2,25.4,14.9,119,3846.81,1244.744004
D08_1,D08,DI,E,1,1,U4762,50.31954,-125.04247,383,16.75,19.25,11.5,110,1688.89,205.0150939
D08_10,D08,DI,E,1,NA,U4771,50.31954,-125.04247,383,16.75,19.25,11.5,89,1688.89,205.0150939
D08_2,D08,DI,E,1,NA,U4763,50.31954,-125.04247,383,16.75,19.25,11.5,103,1688.89,205.0150939
