sam.id,sam.proc.date,lab.proc.date,ufn,semsp.no,year,month,day,location,region,site,species,species.no,stomtray,forklength,fishweight,dry.content.w,wet.content.w,corrected.ww,fullness.cat,fullness.mean,fullness.est,phylum,class,order,infraorder,family,genus,species,plot.taxon,plot.taxon.g,plot.taxon.d,labID,life.stage,sex,DI,count,size,length.min,length.max,length.avg,group.weight,corrected.weight,comment,dylan.proc ,overnight
10,2017-07-03,2016-01-12,U1000,2015-06-05-D10-SO-16,2015,6,5,DI,East,D10,SO,16,41,97,8.5,2.2,6.9,10.626,1-25,12.50,15,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoida,Calanoid copepod,Digested calanoid,Calanoid,NA,NA,4,7,2-5,NA,NA,NA,2.9,4.466,,N,N
10,2017-07-03,2016-01-12,U1000,2015-06-05-D10-SO-16,2015,6,5,DI,East,D10,SO,16,41,97,8.5,2.2,6.9,10.626,1-25,12.50,15,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoida,Calanoid copepod,Digested calanoid,Calanoid,NA,NA,4,2,1-2,NA,NA,NA,0,0,,N,N
10,2017-07-03,2016-01-12,U1000,2015-06-05-D10-SO-16,2015,6,5,DI,East,D10,SO,16,41,97,8.5,2.2,6.9,10.626,1-25,12.50,15,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,NA,Decapoda,Decapod ,Digested decapod,Decapod zoea,NA,NA,4,7,2-5,NA,NA,NA,1.4,2.156,,N,N
10,2017-07-03,2016-01-12,U1000,2015-06-05-D10-SO-16,2015,6,5,DI,East,D10,SO,16,41,97,8.5,2.2,6.9,10.626,1-25,12.50,15,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,Digested,Digested,NA,NA,5,NA,NA,NA,NA,NA,3.9,6.006,,N,N
10,2017-07-03,2016-01-12,U1000,2015-06-05-D10-SO-16,2015,6,5,DI,East,D10,SO,16,41,97,8.5,2.2,6.9,10.626,1-25,12.50,15,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,Euphausiacea,Euphausiid,Euphausiidae,Euphausiid,NA,NA,4,1,2-5,NA,NA,NA,0.1,0.154,,N,N
107,2018-02-05,2016-01-11,U1005,2015-06-05-D10-SO-12,2015,6,5,DI,East,D10,SO,12,39,105,13.3,NA,15.9,24.486,1-25,12.5,20,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoida,Calanoid copepod,Digested calanoid,Calanoid,NA,NA,4,14,2-5,NA,NA,NA,3.2,4.928,,N,N
107,2018-02-05,2016-01-11,U1005,2015-06-05-D10-SO-12,2015,6,5,DI,East,D10,SO,12,39,105,13.3,NA,15.9,24.486,1-25,12.5,20,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoida,Calanoid copepod,Calanus,Calanus marshallae,NA,NA,1,1,2-5,3.25,3.25,3.25,0.7,1.078,,N,N
107,2018-02-05,2016-01-11,U1005,2015-06-05-D10-SO-12,2015,6,5,DI,East,D10,SO,12,39,105,13.3,NA,15.9,24.486,1-25,12.5,20,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoida,Calanoid copepod,Calanus,Calanus marshallae,NA,NA,2,7,2-5,3,3.25,3.13,3.8,5.852,,N,N
107,2018-02-05,2016-01-11,U1005,2015-06-05-D10-SO-12,2015,6,5,DI,East,D10,SO,12,39,105,13.3,NA,15.9,24.486,1-25,12.5,20,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoida,Calanoid copepod,Calanus,Calanus marshallae,NA,NA,3,3,2-5,3,3.25,3.13,0.9,1.386,,N,N
107,2018-02-05,2016-01-11,U1005,2015-06-05-D10-SO-12,2015,6,5,DI,East,D10,SO,12,39,105,13.3,NA,15.9,24.486,1-25,12.5,20,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoida,Calanoid copepod,Calanus,Calanus marshallae,NA,NA,4,7,2-5,NA,NA,NA,1.7,2.618,,N,N
